,users,ratings,shorts,times
107,张苑希,4,柯里昂家族发展奋斗史。的确是一部大气、沉稳、浑厚的经典电影作品，关于历史变迁、家族兴衰、人物成长、美国梦的承载与破灭。“永远不要让任何人知道你在想什么”，其中马龙白兰度饰演的教父威严庄重又深沉又气度，在影史上绝对是无出其右了。而阿尔帕西诺对于二代教父的演绎也是层次分明，值得称道。,2017-08-16
108,几根佩毛,3,【7.0】好莱坞男性教导书 not my cup of tea | 有人需要鸡汤有人不需要，勿喷，仅此而已。,2016-06-08
109,Ron Chan,5,《美国往事》是细水流长，《教父》就是一气呵成，电影重新定义了黑帮，科波拉赋予了人物鲜明的生命感，对家庭的描述之于犯罪，使它的情感浓烈，于是电影即便不乏腥风血雨，却依旧彰显了其义薄云天之气。教堂洗礼和肃清族长部分使用的交叉蒙太奇大赞。马龙·白兰度慈祥温和的表演也让人差点飙泪。伟大。,2015-07-04
110,阿德,5,大银幕来一遍，无憾了,2015-04-19
111,老阿飞—故园,5,对于这套电影还用的着说什么么,2006-01-08
112,恰妮斯虫,3,像读一篇很难很难的阅读理解，想绞尽脑汁说它好，但其实真的说不出个所以然来。,2018-02-12
113,白莲花,2,没错，虽然IMDb和豆瓣都膜拜成了神，但我个人的感觉就是只能给两颗星，又臭又长，毫无吸引力，也没讲出什么深刻的道理。装逼跟风者到哪都是一大堆，豆瓣也不例外。当然，也有可能他们层次都比较高，看出了源源不断的精髓。,2012-09-03
114,杉爷,4,仁慈的父，我已坠入，看不见罪的国度，请原谅我的自负。没人能说没人可说，好难承受，荣耀的背后刻着一道孤独。——我知道我毫无创造力，但是回荡在我脑海中的就是这首 以父之名。,2011-05-01
115,K,5,典型的意大利电影，从婚礼开始，到葬礼结束。,2016-07-27
116,7酱™,5,看完《历史深处的忧虑》后再回头来想这部电影，真正使教父成为教父的，恰是美国精神。,2012-02-08
117,vivien,5,最经典的黑帮电影。。三部曲第一部最经典。。Marlon Brando年迈但更有腔调。。配角都超赞。。还培养了小教父Al Pacino。。Coppola 家族的写照。。音乐赞~~,2010-07-26
