,users,ratings,shorts,times
67,JulyChan,5,充满戾气又到处机灵可爱的电影，好喜欢这种无政府无秩序无逻辑不开化的蛮荒态，报复心才是人类未经驯化的原始本能，强烈、执拗、蔑视伦常、佛挡杀佛。,2015-02-26
68,bamboo,4,一部有毒的电影,2016-07-29
69,曾于里,4,火气真大，将人的某些潜隐欲望释放出来，因此观影过程相当爽,2016-03-05
70,[已注销],5,#siff#没记错影城一号厅一共鼓了四次掌吧。看完这片不能白看，从自己做起，对影院不文明现象要上演荒蛮故事真人版,2015-06-17
71,SydneyCarton,4,三星半，就是个良莠不齐的短片集。最喜欢的是公路那场和婚礼那场：一个酷似斯爵士的《决斗》，单挑对决内在张力够足，另一个虽然夸张，但绝对够劲，《消失的爱人》啰嗦半天的人家一场婚礼就讲清楚了，《消失的爱人》讲不清楚的它也点到了，未婚人士默，已婚人士泪。,2015-03-14
72,左胸上的吸盘,4,很好看，呈现出来的一切都没什么差池，编剧对情绪的推进相当冷静啊。最后一个故事对我来说基本是感同身受了，但我不觉得这俩人能好，正常人不会要那种生活的,2015-04-23
73,[已注销],4,最爱第一个和最后一个,2015-06-23
74,皮革业,4,果然是各国人民喜闻乐见的故事会格局。,2017-06-21
75,Q。,4,最后一个故事真是个棒棒的结尾。★★★★,2016-02-14
76,冰红深蓝,5,奥斯卡最佳外语片提名，劲爆狗血的黑色喜剧。六段故事主题各异，张力十足，核心是“失控后的暴力”和“复仇”。麻雀虽小，五脏俱全，每个故事都节奏紧凑胜似惊悚片，转折无数强若悬疑剧，于冰冷荒诞中辛辣刺骨地批判了政治腐败、社会弊病与个人文明外表下的自私与偏执。最后一个故事大爱！（9.0/10）,2015-02-28
77,VeryC₿,5,每一段故事都可以单独拍一部电影了,2015-12-26
78,私享史,3,这片和《天注定》完全没有可比性，短评里那些说《天》不如本片的真把自己当歪果仁了吧。话说回来，《天》若是拍成这种黑色讽刺喜剧范儿，那些人又得叽歪小贾是隔靴搔痒绵软无力。《天》的几个故事围绕一个共同主题展开，是一个完整的剧本。而本片几个故事毫无关联，更别说各个故事的水准差异也忒大了。,2015-05-09
